,賣場,品名,品牌,種類,價格,圖片,網址
12,家樂福,春風捲筒衛生紙,春風,捲筒,$115.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwdc0f9d1b/images/large/0007294.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E6%98%A5%E9%A2%A8/1220200500101.html
13,家樂福,春風濕拭衛生紙40PCx3,春風,,$142.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw3d8a4590/images/large/0263872.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E6%98%A5%E9%A2%A8/1220189500101.html
14,家樂福,春風平版衛生紙-300PC,春風,平版,$114.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dweb1a2c17/images/large/0099563.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E6%98%A5%E9%A2%A8/1220000800106.html
15,家樂福,雪柔抽取衛生紙-100PC,雪柔,抽取,$159.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw2f3a52c6/images/large/0095482.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E9%9B%AA%E6%9F%94/1220100300112.html
16,家樂福,【抽取】可麗舒抽取衛生紙,可麗舒,抽取,$714.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw42c03bf0/images/large/0060215.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E5%8F%AF%E9%BA%97%E8%88%92/1220100500172.html
17,家樂福,【抽取】可麗舒抽取衛生紙,可麗舒,抽取,$119.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw7f97fdf6/images/large/0016982.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E5%8F%AF%E9%BA%97%E8%88%92/1220100500112.html
18,家樂福,舒潔平版式衛生紙-300PC,舒潔,平版,$129.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwcb0d5325/images/large/0115599.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E8%88%92%E6%BD%94/1220000600106.html
19,家樂福,優活抽取式衛生紙 100抽,優活,抽取,$189.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw1661619a/images/large/0225484.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E5%84%AA%E6%B4%BB/1220110400124.html
20,家樂福,柔情抽取式衛生紙-100PC,柔情,抽取,$115.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwcfb0fdfb/images/large/0239237.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E6%9F%94%E6%83%85/1220104600112.html
21,家樂福,舒適抽取式衛生紙-110PC,舒適,抽取,$717.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw1e9006f9/images/large/0036814.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E8%88%92%E9%81%A9/1220100600172.html
22,家樂福,舒潔平版式衛生紙300PCx6包x8袋,舒潔,平版,$992.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw03dd75c2/images/large/0115600.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E8%88%92%E6%BD%94/1220000600148.html
23,家樂福,舒適抽取式衛生紙(110抽),舒適,抽取,$239.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw2bd116d7/images/large/0004085.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E8%88%92%E9%81%A9/1220100600124.html
24,家樂福,家樂福抽取式衛生紙-PEFC,家樂福,抽取,$59.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw6ba5faf6/images/large/0273201_-efc.png?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E5%AE%B6%E6%A8%82%E7%A6%8F/1220112900101.html
25,家樂福,金舒適抽取式衛生紙,舒適,抽取,$179.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwa2f2359a/images/large/0210560.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E9%87%91%E8%88%92%E9%81%A9/1220109200120.html
26,家樂福,倍潔雅抽取式衛生紙100PCx24,倍潔雅,抽取,$199.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw83c18ff3/images/large/1220110300124-1.png?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E5%80%8D%E6%BD%94%E9%9B%85/1220110300124.html
27,家樂福,春風濕拭衛生紙10PCx3包,春風,,$648.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw5243389b/images/large/0263864_10.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E6%98%A5%E9%A2%A8/1220189400112.html
28,家樂福,淨世代環保抽取衛生紙100PC,,抽取,$126.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwe9ef1b2c/images/large/0238398.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E6%B7%A8%E4%B8%96%E4%BB%A3/1220106100112.html
29,家樂福,淨世代環保抽取衛生紙100PC,,抽取,$756.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw3159c4fd/images/large/0238397.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E6%B7%A8%E4%B8%96%E4%BB%A3/1220106100172.html
30,家樂福,舒潔迪士尼抽取衛生紙100PC,舒潔,抽取,$168.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw0c058259/images/large/1220107900112.jpg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E8%88%92%E6%BD%94/1220107900112.html
31,家樂福,舒適三層抽取式衛生紙,舒適,抽取,$339.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw64646990/images/large/0202599.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E8%88%92%E9%81%A9/1220108700120.html
32,家樂福,春風Hello Kitty三層抽取式衛生紙90PCx20包x3袋,春風,抽取,"$1,062.00",https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwa78a7d26/images/large/0259666_hello-kitty.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E6%98%A5%E9%A2%A8/1220103400160.html
33,家樂福,舒潔萬用輕巧包衛生紙,舒潔,,$198.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw4e467aab/images/large/0004113.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E8%88%92%E6%BD%94/1220103000120.html
34,家樂福,春風Hello Kitty三層抽取式衛生紙90PC,春風,抽取,$299.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwa81d7423/images/large/0259665_hello-kitty.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E6%98%A5%E9%A2%A8/1220103400120.html
35,家樂福,春風抽取式衛生紙優質經濟包-100PC,春風,抽取,$85.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwba11274c/images/large/0080629.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E6%98%A5%E9%A2%A8/1220105100110.html
36,家樂福,得意優質抽取式衛生紙100PCx24,得意,抽取,$216.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw63503b1d/images/large/1220103100124.jpg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E5%BE%97%E6%84%8F/1220103100124.html
37,家樂福,柔情抽取式衛生紙-100PC,柔情,抽取,$225.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw753623c7/images/large/0239577_24.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E6%9F%94%E6%83%85/1220104800124.html
38,家樂福,可麗舒除臭抽取衛生紙-100PC,可麗舒,抽取,$119.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwb44a45bf/images/large/0004119.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E5%8F%AF%E9%BA%97%E8%88%92/1220104200112.html
39,家樂福,可麗舒除臭抽取衛生紙-100PC,可麗舒,抽取,$672.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw6f3b60f4/images/large/0060217.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E5%8F%AF%E9%BA%97%E8%88%92/1220104200172.html
40,家樂福,蒲公英環保抽取衛生紙-100PC,蒲公英,抽取,$123.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw9ffb2df9/images/large/0187826.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E8%92%B2%E5%85%AC%E8%8B%B1/1220106500112.html
41,家樂福,蒲公英環保抽取衛生紙,蒲公英,抽取,$738.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw648a836c/images/large/0060220.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E8%92%B2%E5%85%AC%E8%8B%B1/1220106500172.html
42,家樂福,舒潔女性專用濕式衛生紙,舒潔,濕式,$98.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwb45a4f88/images/large/0178850.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E8%88%92%E6%BD%94/1220108600103.html
43,家樂福,家樂福濕式衛生紙外出包-20PC,家樂福,濕式,$75.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwbc997658/images/large/0229146.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E5%AE%B6%E6%A8%82%E7%A6%8F/1220111100103.html
44,家樂福,倍潔雅特級抽取式衛生紙-110抽,倍潔雅,抽取,$125.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw9339b35b/images/large/0271593.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E5%80%8D%E6%BD%94%E9%9B%85/1220110000112.html
45,家樂福,舒適抽取式衛生紙(輕巧包)120PCx20包,舒適,抽取,$205.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwe231cd7f/images/large/0236515.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E8%88%92%E9%81%A9/1220111300120.html
46,家樂福,五月花新纖柔抽取衛生紙,五月花,抽取,$139.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw2fa15214/images/large/1220113300112.jpg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E4%BA%94%E6%9C%88%E8%8A%B1/1220113300112.html
47,家樂福,春風抽取衛生紙-110PC,春風,抽取,$120.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwc753bc12/images/large/0218402.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E6%98%A5%E9%A2%A8/1220104300110.html
48,家樂福,春風抽取衛生紙-110PC,春風,抽取,$840.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw6da88611/images/large/0218403.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E6%98%A5%E9%A2%A8/1220104300170.html
49,家樂福,春風柔膚感抽取式衛生紙-110PC,春風,抽取,$298.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw98cf0f2e/images/large/0007291.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E6%98%A5%E9%A2%A8/1220106900124.html
50,家樂福,春風柔膚感抽取式衛生紙-110PC,春風,抽取,$894.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw2926f8b9/images/large/0060221.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E6%98%A5%E9%A2%A8/1220106900172.html
51,家樂福,家樂福抽取式衛生紙-FSC-110PCx24包,家樂福,抽取,$807.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwd61ab754/images/large/0234244_-fsc-110x24.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E5%AE%B6%E6%A8%82%E7%A6%8F/1220110500103.html
52,家樂福,倍潔雅柔軟舒適抽取衛生紙(150抽/包),舒適,抽取,$187.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw4af752b6/images/large/0216169.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E5%80%8D%E6%BD%94%E9%9B%85/1220109800114.html
53,家樂福,五月花三層捲筒衛生紙-6捲,五月花,捲筒,"$1,888.00",https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwf92b4e93/images/large/0239100_-200.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E4%BA%94%E6%9C%88%E8%8A%B1/1220200600116.html
54,家樂福,家樂福抽取式花紋衛生紙(FSC)130PCx12,家樂福,抽取,$139.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw193436fd/images/large/0234239_-fsc130x12.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E5%AE%B6%E6%A8%82%E7%A6%8F/1220110800101.html
55,家樂福,家樂福抽取式花紋衛生紙(FSC)130PCx12包x6袋,家樂福,抽取,$834.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwaf87aea4/images/large/0234240_-fsc130x12.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E5%AE%B6%E6%A8%82%E7%A6%8F/1220110800106.html
56,家樂福,家樂福抽取式衛生紙-過年版100PCx24包x4袋,家樂福,抽取,$756.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw8debd281/images/large/1220111500101.png?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E5%AE%B6%E6%A8%82%E7%A6%8F/1220111500104.html
57,家樂福,五月花三層捲筒衛生紙-6l捲,五月花,捲筒,$118.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw6fe026e5/images/large/0239099_-200.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E4%BA%94%E6%9C%88%E8%8A%B1/1220200600101.html
58,家樂福,唯潔雅潔淨柔感抽取式衛生紙-150PC,唯潔雅,抽取,$160.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw7ec9dddd/images/large/0224090.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E5%94%AF%E6%BD%94%E9%9B%85/1220110100112.html
59,家樂福,家樂福抽取式花紋衛生紙-FSC-110PCx6包,家樂福,抽取,$690.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw72594744/images/large/0234234_-fsc-110x6.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E5%AE%B6%E6%A8%82%E7%A6%8F/1220110700110.html
60,家樂福,春風柔韌感山茶花抽取衛生紙-110PC,春風,抽取,$161.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw0b726fc1/images/large/0174848.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E6%98%A5%E9%A2%A8/1220108300112.html
61,家樂福,家樂福超值捲筒式花紋衛生紙,家樂福,捲筒,$95.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwd9dc94a0/images/large/0207210.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E5%AE%B6%E6%A8%82%E7%A6%8F/1220200700101.html
62,家樂福,家樂福超值捲筒式花紋衛生紙,家樂福,捲筒,$760.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw0fa416a2/images/large/0207211.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E5%AE%B6%E6%A8%82%E7%A6%8F/1220200700108.html
63,家樂福,得意連續抽取衛生紙-大甲媽版,得意,抽取,$235.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwd944ece7/images/large/0199577_-.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E5%BE%97%E6%84%8F/1220107100124.html
64,家樂福,春風山茶花精華抽取式衛生紙-100PC,春風,抽取,$807.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwb7b72abf/images/large/0201609.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E6%98%A5%E9%A2%A8/1220102000172.html
65,家樂福,春風山茶花精華抽取式衛生紙-100PC,春風,抽取,$269.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw634f093d/images/large/0201610.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E6%98%A5%E9%A2%A8/1220102000124.html
66,家樂福,舒潔迪士尼抽取衛生紙超值包,舒潔,抽取,$299.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw73107a61/images/large/0185918.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E8%88%92%E6%BD%94/1220105900124.html
67,家樂福,得意連續抽取衛生紙-大甲媽版,得意,抽取,$705.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw0ac11034/images/large/0206155_-.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E5%BE%97%E6%84%8F/1220107100172.html
68,家樂福,家樂福超值平版式花紋衛生紙-300PC,家樂福,平版,$89.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw46b0fe06/images/large/0207262.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E5%AE%B6%E6%A8%82%E7%A6%8F/1220000100106.html
69,家樂福,家樂福超值平版式花紋衛生紙-300PC,家樂福,平版,$534.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwd5364b1d/images/large/0210461.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E5%AE%B6%E6%A8%82%E7%A6%8F/1220000100136.html
70,家樂福,【家樂福省更多】家樂福優質三層抽取式衛生紙 100抽x24包/袋,家樂福,抽取,$329.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw81b3ca2e/images/large/0180502.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E5%AE%B6%E6%A8%82%E7%A6%8F/1220108000101.html
71,家樂福,五月花蓬厚柔三層抽取衛生紙110PC,五月花,抽取,$439.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwca8f51b5/images/large/0238361.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E4%BA%94%E6%9C%88%E8%8A%B1/1220103700124.html
72,家樂福,舒潔 喀什米爾 4層抽取衛生紙乳木果精華-90PC(即日起-3/31 箱購活動請下6件只要1199元/不得併用折價券/折扣碼),舒潔,抽取,$310.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw237b265e/images/large/0257621_490.png?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E8%88%92%E6%BD%94/1220112300110.html
73,家樂福,舒潔絲柔乳液抽取衛生紙超值包-100PCx30包,舒潔,抽取,$399.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw0c71184c/images/large/0178420.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E8%88%92%E6%BD%94/1220106800101.html
